disagreement_bin,endpoint,mean,model_id,n,source_distribution_variant,subset
diffuse,agreement_surplus,0.4356185586450608,all_models,2500,jeffreys_alpha_0_5,all_items
high_consensus,agreement_surplus,0.16940876806182525,all_models,1750,jeffreys_alpha_0_5,all_items
low_consensus,agreement_surplus,0.37093131989024575,all_models,3749,jeffreys_alpha_0_5,all_items
low_diffuse,agreement_surplus,0.3968103560379554,all_models,6249,jeffreys_alpha_0_5,all_items
moderate_consensus,agreement_surplus,0.2946303508144813,all_models,2000,jeffreys_alpha_0_5,all_items
diffuse,distribution_agreement_gap,0.22655573376102645,all_models,2494,jeffreys_alpha_0_5,all_items
high_consensus,distribution_agreement_gap,0.18284240687679082,all_models,1745,jeffreys_alpha_0_5,all_items
low_consensus,distribution_agreement_gap,0.23268736616702354,all_models,3736,jeffreys_alpha_0_5,all_items
low_diffuse,distribution_agreement_gap,0.23023274478330658,all_models,6230,jeffreys_alpha_0_5,all_items
moderate_consensus,distribution_agreement_gap,0.22150952858575726,all_models,1994,jeffreys_alpha_0_5,all_items
diffuse,sampling_compression,1.5073793114633163,all_models,500,jeffreys_alpha_0_5,all_items
high_consensus,sampling_compression,0.5637081252817788,all_models,350,jeffreys_alpha_0_5,all_items
low_consensus,sampling_compression,1.2646376937804604,all_models,750,jeffreys_alpha_0_5,all_items
low_diffuse,sampling_compression,1.3617343408536027,all_models,1250,jeffreys_alpha_0_5,all_items
moderate_consensus,sampling_compression,0.997935615478948,all_models,400,jeffreys_alpha_0_5,all_items
diffuse,agreement_surplus,0.40155060842926404,all_models,405,jeffreys_alpha_0_5,high_annotation_q75_ge_14
high_consensus,agreement_surplus,0.15157640024758304,all_models,1090,jeffreys_alpha_0_5,high_annotation_q75_ge_14
low_consensus,agreement_surplus,0.36442965411816536,all_models,665,jeffreys_alpha_0_5,high_annotation_q75_ge_14
low_diffuse,agreement_surplus,0.3784801087873195,all_models,1070,jeffreys_alpha_0_5,high_annotation_q75_ge_14
moderate_consensus,agreement_surplus,0.27261669207664313,all_models,395,jeffreys_alpha_0_5,high_annotation_q75_ge_14
diffuse,distribution_agreement_gap,0.22594059405940592,all_models,404,jeffreys_alpha_0_5,high_annotation_q75_ge_14
high_consensus,distribution_agreement_gap,0.17654411764705882,all_models,1088,jeffreys_alpha_0_5,high_annotation_q75_ge_14
low_consensus,distribution_agreement_gap,0.23031626506024097,all_models,664,jeffreys_alpha_0_5,high_annotation_q75_ge_14
low_diffuse,distribution_agreement_gap,0.22866104868913856,all_models,1068,jeffreys_alpha_0_5,high_annotation_q75_ge_14
moderate_consensus,distribution_agreement_gap,0.22333333333333333,all_models,393,jeffreys_alpha_0_5,high_annotation_q75_ge_14
diffuse,sampling_compression,1.2910235251634312,all_models,70,jeffreys_alpha_0_5,high_annotation_q75_ge_14
high_consensus,sampling_compression,0.49664640337934,all_models,195,jeffreys_alpha_0_5,high_annotation_q75_ge_14
low_consensus,sampling_compression,1.1562028251948764,all_models,180,jeffreys_alpha_0_5,high_annotation_q75_ge_14
low_diffuse,sampling_compression,1.1939526211860718,all_models,250,jeffreys_alpha_0_5,high_annotation_q75_ge_14
moderate_consensus,sampling_compression,0.9721170091081,all_models,115,jeffreys_alpha_0_5,high_annotation_q75_ge_14
diffuse,agreement_surplus,0.4341353620740306,all_models,2420,jeffreys_alpha_0_5,exclude_info_majority
high_consensus,agreement_surplus,0.16940876806182525,all_models,1750,jeffreys_alpha_0_5,exclude_info_majority
low_consensus,agreement_surplus,0.3700643792718505,all_models,3729,jeffreys_alpha_0_5,exclude_info_majority
low_diffuse,agreement_surplus,0.39528015067879074,all_models,6149,jeffreys_alpha_0_5,exclude_info_majority
moderate_consensus,agreement_surplus,0.2946303508144813,all_models,2000,jeffreys_alpha_0_5,exclude_info_majority
diffuse,distribution_agreement_gap,0.22572908036454017,all_models,2414,jeffreys_alpha_0_5,exclude_info_majority
high_consensus,distribution_agreement_gap,0.18284240687679082,all_models,1745,jeffreys_alpha_0_5,exclude_info_majority
low_consensus,distribution_agreement_gap,0.2331189451022605,all_models,3716,jeffreys_alpha_0_5,exclude_info_majority
low_diffuse,distribution_agreement_gap,0.23020880913539968,all_models,6130,jeffreys_alpha_0_5,exclude_info_majority
moderate_consensus,distribution_agreement_gap,0.22150952858575726,all_models,1994,jeffreys_alpha_0_5,exclude_info_majority
diffuse,sampling_compression,1.5071215147089294,all_models,480,jeffreys_alpha_0_5,exclude_info_majority
high_consensus,sampling_compression,0.5637081252817788,all_models,350,jeffreys_alpha_0_5,exclude_info_majority
low_consensus,sampling_compression,1.266350755535609,all_models,745,jeffreys_alpha_0_5,exclude_info_majority
low_diffuse,sampling_compression,1.3606935836198488,all_models,1225,jeffreys_alpha_0_5,exclude_info_majority
moderate_consensus,sampling_compression,0.997935615478948,all_models,400,jeffreys_alpha_0_5,exclude_info_majority
diffuse,agreement_surplus,0.4351561436596528,all_models,2495,jeffreys_alpha_0_5,exclude_high_info_ge_0_40
high_consensus,agreement_surplus,0.16940876806182525,all_models,1750,jeffreys_alpha_0_5,exclude_high_info_ge_0_40
low_consensus,agreement_surplus,0.3700643792718505,all_models,3729,jeffreys_alpha_0_5,exclude_high_info_ge_0_40
low_diffuse,agreement_surplus,0.3961575592441459,all_models,6224,jeffreys_alpha_0_5,exclude_high_info_ge_0_40
moderate_consensus,agreement_surplus,0.2946303508144813,all_models,2000,jeffreys_alpha_0_5,exclude_high_info_ge_0_40
diffuse,distribution_agreement_gap,0.2262193652069104,all_models,2489,jeffreys_alpha_0_5,exclude_high_info_ge_0_40
high_consensus,distribution_agreement_gap,0.18284240687679082,all_models,1745,jeffreys_alpha_0_5,exclude_high_info_ge_0_40
low_consensus,distribution_agreement_gap,0.2331189451022605,all_models,3716,jeffreys_alpha_0_5,exclude_high_info_ge_0_40
low_diffuse,distribution_agreement_gap,0.23035132957292506,all_models,6205,jeffreys_alpha_0_5,exclude_high_info_ge_0_40
moderate_consensus,distribution_agreement_gap,0.22150952858575726,all_models,1994,jeffreys_alpha_0_5,exclude_high_info_ge_0_40
diffuse,sampling_compression,1.5073793114633163,all_models,500,jeffreys_alpha_0_5,exclude_high_info_ge_0_40
high_consensus,sampling_compression,0.5637081252817788,all_models,350,jeffreys_alpha_0_5,exclude_high_info_ge_0_40
low_consensus,sampling_compression,1.266350755535609,all_models,745,jeffreys_alpha_0_5,exclude_high_info_ge_0_40
low_diffuse,sampling_compression,1.3631493723740458,all_models,1245,jeffreys_alpha_0_5,exclude_high_info_ge_0_40
moderate_consensus,sampling_compression,0.997935615478948,all_models,400,jeffreys_alpha_0_5,exclude_high_info_ge_0_40
