disagreement_bin,endpoint,mean,model_id,n
diffuse,agreement_surplus,0.4356185586450608,all_models,2500
high_consensus,agreement_surplus,0.16940876806182525,all_models,1750
low_consensus,agreement_surplus,0.37093131989024575,all_models,3749
low_diffuse,agreement_surplus,0.3968103560379554,all_models,6249
moderate_consensus,agreement_surplus,0.2946303508144813,all_models,2000
diffuse,agreement_surplus,0.3905637459414127,claude-sonnet-4-6,500
diffuse,agreement_surplus,0.4308033107380971,deepseek/deepseek-v3.2,500
diffuse,agreement_surplus,0.4112208630682216,gpt-5.5,500
diffuse,agreement_surplus,0.42005616040899124,grok-4.3,500
diffuse,agreement_surplus,0.5254487130685814,qwen/qwen3.7-max,500
high_consensus,agreement_surplus,0.23342802607993812,claude-sonnet-4-6,350
high_consensus,agreement_surplus,0.16289023309914671,deepseek/deepseek-v3.2,350
high_consensus,agreement_surplus,0.16814678424050508,gpt-5.5,350
high_consensus,agreement_surplus,0.05963175659936712,grok-4.3,350
high_consensus,agreement_surplus,0.2229470402901692,qwen/qwen3.7-max,350
low_consensus,agreement_surplus,0.3607020515145202,claude-sonnet-4-6,750
low_consensus,agreement_surplus,0.35773942192381447,deepseek/deepseek-v3.2,750
low_consensus,agreement_surplus,0.36437645570528854,gpt-5.5,750
low_consensus,agreement_surplus,0.3264539503321075,grok-4.3,749
low_consensus,agreement_surplus,0.44532541681608717,qwen/qwen3.7-max,750
low_diffuse,agreement_surplus,0.3726467292852772,claude-sonnet-4-6,1250
low_diffuse,agreement_surplus,0.3869649774495275,deepseek/deepseek-v3.2,1250
low_diffuse,agreement_surplus,0.38311421865046175,gpt-5.5,1250
low_diffuse,agreement_surplus,0.3639248110514365,grok-4.3,1249
low_diffuse,agreement_surplus,0.47737473531708485,qwen/qwen3.7-max,1250
moderate_consensus,agreement_surplus,0.35193991348952897,claude-sonnet-4-6,400
moderate_consensus,agreement_surplus,0.2791812376117571,deepseek/deepseek-v3.2,400
moderate_consensus,agreement_surplus,0.28839853280364064,gpt-5.5,400
moderate_consensus,agreement_surplus,0.21881701651616775,grok-4.3,400
moderate_consensus,agreement_surplus,0.3348150536513121,qwen/qwen3.7-max,400
