component_type,disagreement_bin,models,prompt_mode,target_calls,unique_items
core_cross_format,diffuse,5,descriptive_verdict_mode,2500,500
core_cross_format,high_consensus,5,descriptive_verdict_mode,1750,350
core_cross_format,low_consensus,5,descriptive_verdict_mode,3750,750
core_cross_format,moderate_consensus,5,descriptive_verdict_mode,2000,400
core_cross_format,diffuse,5,distribution_mode,2500,500
core_cross_format,high_consensus,5,distribution_mode,1750,350
core_cross_format,low_consensus,5,distribution_mode,3750,750
core_cross_format,moderate_consensus,5,distribution_mode,2000,400
normative_certainty,diffuse,5,normative_verdict_mode,1300,260
normative_certainty,high_consensus,5,normative_verdict_mode,800,160
normative_certainty,low_consensus,5,normative_verdict_mode,1900,380
normative_certainty,moderate_consensus,5,normative_verdict_mode,1000,200
paraphrase_audit,diffuse,5,paraphrased_descriptive_verdict_mode,300,60
paraphrase_audit,high_consensus,5,paraphrased_descriptive_verdict_mode,200,40
paraphrase_audit,low_consensus,5,paraphrased_descriptive_verdict_mode,500,100
paraphrase_audit,moderate_consensus,5,paraphrased_descriptive_verdict_mode,250,50
paraphrase_audit,diffuse,5,paraphrased_distribution_mode,300,60
paraphrase_audit,high_consensus,5,paraphrased_distribution_mode,200,40
paraphrase_audit,low_consensus,5,paraphrased_distribution_mode,500,100
paraphrase_audit,moderate_consensus,5,paraphrased_distribution_mode,250,50
repeated_sampling,diffuse,5,sampling_mode,5000,100
repeated_sampling,high_consensus,5,sampling_mode,3500,70
repeated_sampling,low_consensus,5,sampling_mode,7500,150
repeated_sampling,moderate_consensus,5,sampling_mode,4000,80
